order_id,email,firstname,lastname,prefix,middlename,suffix,taxvat,created_at,updated_at,invoice_created_at,shipment_created_at,creditmemo_created_at,tax_amount,base_tax_amount,discount_amount,base_discount_amount,shipping_tax_amount,base_shipping_tax_amount,base_to_global_rate,base_to_order_rate,store_to_base_rate,store_to_order_rate,subtotal_incl_tax,base_subtotal_incl_tax,coupon_code,shipping_incl_tax,base_shipping_incl_tax,shipping_method,shipping_amount,subtotal,base_subtotal,grand_total,base_grand_total,base_shipping_amount,adjustment_positive,adjustment_negative,refunded_shipping_amount,base_refunded_shipping_amount,refunded_subtotal,base_refunded_subtotal,refunded_tax_amount,base_refunded_tax_amount,refunded_discount_amount,base_refunded_discount_amount,store_id,order_status,order_state,hold_before_state,hold_before_status,store_currency_code,base_currency_code,order_currency_code,total_paid,base_total_paid,is_virtual,total_qty_ordered,remote_ip,total_refunded,base_total_refunded,total_canceled,total_invoiced,customer_id,billing_prefix,billing_firstname,billing_middlename,billing_lastname,billing_suffix,billing_street_full,billing_city,billing_region,billing_country,billing_postcode,billing_telephone,billing_company,billing_fax,customer_id,shipping_prefix,shipping_firstname,shipping_middlename,shipping_lastname,shipping_suffix,shipping_street_full,shipping_city,shipping_region,shipping_country,shipping_postcode,shipping_telephone,shipping_company,shipping_fax,payment_method,product_sku,product_name,qty_ordered,qty_invoiced,qty_shipped,qty_refunded,qty_canceled,product_type,original_price,base_original_price,row_total,base_row_total,row_weight,price_incl_tax,base_price_incl_tax,product_tax_amount,product_base_tax_amount,product_tax_percent,product_discount,product_base_discount,product_discount_percent,is_child,product_option
400000001,pearl@example.com,Pearl,Glory,,,,,"2013-04-24 20:21:49","2013-04-25 03:54:36",,,,41.3000,41.3000,-10.0000,-10.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,631.3000,631.3000,,103.3200,103.3200,"United Parcel Service - Next Day Air Early AM",103.3200,590.0000,590.0000,724.6200,724.6200,103.3200,0,0,0,0,0,0,0,0,0,0,,holded,holded,new,pending,USD,USD,USD,,,0,1.0000,24.186.110.187,,,,,84,,Pearl,,Glory,,"Great Church Road",Baltimore,Maryland,US,21201,5291065456,,,84,,Pearl,,Glory,,"Great Church Road",Baltimore,Maryland,US,21201,5291065456,,,checkmo,Pmo000xs,"Thomas Overcoat",1,0,0,0,0,configurable,590.0000,590.0000,590.0000,590.0000,1.0000,631.3000,631.3000,41.3000,41.3000,7.0000,10.0000,10.0000,0.0000,no,"a:10:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:120:""aHR0cDovLzUwLjU2LjIxMy4xNTcvcHJpdmF0ZXNhbGVzL2luZGV4LnBocC9jYXRhbG9nL3Byb2R1Y3Qvdmlldy9pZC84MDgvcy90aG9tYXMtb3ZlcmNvYXQv"";s:7:""product"";s:3:""808"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:180;s:2:""81"";}s:3:""qty"";s:1:""1"";s:10:""return_url"";s:0:"""";}s:15:""attributes_info"";a:1:{i:0;a:2:{s:5:""label"";s:4:""Size"";s:5:""value"";s:2:""XS"";}}s:11:""simple_name"";s:15:""Thomas Overcoat"";s:10:""simple_sku"";s:8:""Pmo000xs"";s:20:""product_calculations"";i:1;s:13:""shipment_type"";i:0;s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pmo000xs,"Thomas Overcoat",1,0,0,0,0,simple,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,yes,"a:5:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:120:""aHR0cDovLzUwLjU2LjIxMy4xNTcvcHJpdmF0ZXNhbGVzL2luZGV4LnBocC9jYXRhbG9nL3Byb2R1Y3Qvdmlldy9pZC84MDgvcy90aG9tYXMtb3ZlcmNvYXQv"";s:7:""product"";s:3:""808"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:180;s:2:""81"";}s:3:""qty"";s:1:""1"";s:10:""return_url"";s:0:"""";}s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
400000002,pearl@example.com,Pearl,Glory,,,,,"2013-04-24 20:32:54","2013-04-24 20:33:27",,"2013-04-24 20:33:27",,103.2500,103.2500,-50.0000,-50.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1578.2500,1578.2500,,37.8600,37.8600,"United Parcel Service - 3 Day Select",37.8600,1475.0000,1475.0000,1566.1100,1566.1100,37.8600,0,0,0,0,0,0,0,0,0,0,,processing,processing,,,USD,USD,USD,,,0,5.0000,24.186.110.187,,,,,84,,Pearl,,Glory,,"Great Church Road",Baltimore,Maryland,US,21201,5291065456,,,84,,Pearl,,Glory,,"Great Church Road",Baltimore,Maryland,US,21201,5291065456,,,checkmo,Pmp00131,"Draper Pant",5,0,5,0,0,configurable,295.0000,295.0000,1475.0000,1475.0000,5.0000,315.6500,315.6500,103.2500,103.2500,7.0000,50.0000,50.0000,0.0000,no,"a:10:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:116:""aHR0cDovLzUwLjU2LjIxMy4xNTcvcHJpdmF0ZXNhbGVzL2luZGV4LnBocC9jYXRhbG9nL3Byb2R1Y3Qvdmlldy9pZC84MTIvcy9kcmFwZXItcGFudC8,"";s:7:""product"";s:3:""812"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:180;s:2:""64"";}s:3:""qty"";s:1:""5"";s:10:""return_url"";s:0:"""";}s:15:""attributes_info"";a:1:{i:0;a:2:{s:5:""label"";s:4:""Size"";s:5:""value"";s:2:""31"";}}s:11:""simple_name"";s:11:""Draper Pant"";s:10:""simple_sku"";s:8:""Pmp00131"";s:20:""product_calculations"";i:1;s:13:""shipment_type"";i:0;s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pmp00131,"Draper Pant",5,0,0,0,0,simple,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,yes,"a:5:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:116:""aHR0cDovLzUwLjU2LjIxMy4xNTcvcHJpdmF0ZXNhbGVzL2luZGV4LnBocC9jYXRhbG9nL3Byb2R1Y3Qvdmlldy9pZC84MTIvcy9kcmFwZXItcGFudC8,"";s:7:""product"";s:3:""812"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:180;s:2:""64"";}s:3:""qty"";s:1:""5"";s:10:""return_url"";s:0:"""";}s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
100000049,mosses@ebay.com,Mosses,Akizian,,,,,"2013-03-15 06:01:34","2013-03-15 06:01:35",,,,61.8800,61.8800,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,811.8800,811.8800,,11.5700,11.5700,"United Parcel Service - Ground",11.5700,750.0000,750.0000,823.4500,823.4500,11.5700,0,0,0,0,0,0,0,0,0,0,1,pending,new,,,USD,USD,USD,,,0,1.0000,216.113.168.131,,,,,,,Mosses,,Akizian,,"10441 Jefferson Blvd.  Suite 200","Culver City",California,US,90232,3105551212,,,,,Mosses,,Akizian,,"10441 Jefferson Blvd.  Suite 200","Culver City",California,US,90232,3105551212,,,checkmo,abl007,"Classic Hardshell Suitcase 29""",1,0,0,0,0,grouped,750.0000,750.0000,750.0000,750.0000,1.0000,811.8800,811.8800,61.8800,61.8800,8.2500,0.0000,0.0000,0.0000,no,"a:6:{s:15:""info_buyRequest"";a:1:{s:20:""super_product_config"";a:2:{s:12:""product_type"";s:7:""grouped"";s:10:""product_id"";s:3:""439"";}}s:20:""super_product_config"";a:3:{s:12:""product_code"";s:12:""product_type"";s:12:""product_type"";s:7:""grouped"";s:10:""product_id"";s:3:""439"";}s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
100000051,robert@gmail.com,Robert,Ngia,,,,,"2013-03-29 01:45:53","2013-04-04 06:25:55",,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,660.0000,660.0000,,38.3000,38.3000,"United Parcel Service - 3 Day Select",38.3000,660.0000,660.0000,698.3000,698.3000,38.3000,0,0,0,0,0,0,0,0,0,0,1,canceled,canceled,,,USD,USD,USD,,,0,7.0000,8.31.244.68,,,698.3000,,30,,Robert,,Ngia,,"1 Legends Way",Arlington,Texas,US,76011,6767676768,,,30,,Robert,,Ngia,,"1 Legends Way",Arlington,Texas,US,76011,6767676768,,,checkmo,mtk004,"Chelsea Tee",6,0,0,0,6,configurable,75.0000,75.0000,450.0000,450.0000,6.0000,75.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,no,"a:10:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:108:""aHR0cDovLzUwLjU2LjIxMy4xNTcvbWVuL3RlZXMta25pdHMtYW5kLXBvbG9zL2NoZWxzZWEtdGVlLTUxNC5odG1sP29wdGlvbnM9Y2FydA,,"";s:7:""product"";s:3:""409"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:2:{i:92;s:2:""20"";i:180;s:2:""80"";}s:3:""qty"";s:1:""6"";s:10:""return_url"";s:0:"""";}s:15:""attributes_info"";a:2:{i:0;a:2:{s:5:""label"";s:5:""Color"";s:5:""value"";s:5:""Black"";}i:1;a:2:{s:5:""label"";s:4:""Size"";s:5:""value"";s:1:""S"";}}s:11:""simple_name"";s:11:""Chelsea Tee"";s:10:""simple_sku"";s:6:""mtk004"";s:20:""product_calculations"";i:1;s:13:""shipment_type"";i:0;s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mtk004,"Chelsea Tee",6,0,0,0,0,simple,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,yes,"a:5:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:108:""aHR0cDovLzUwLjU2LjIxMy4xNTcvbWVuL3RlZXMta25pdHMtYW5kLXBvbG9zL2NoZWxzZWEtdGVlLTUxNC5odG1sP29wdGlvbnM9Y2FydA,,"";s:7:""product"";s:3:""409"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:2:{i:92;s:2:""20"";i:180;s:2:""80"";}s:3:""qty"";s:1:""6"";s:10:""return_url"";s:0:"""";}s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wbk012,"Elizabeth Knit Top",1,0,0,0,1,configurable,210.0000,210.0000,210.0000,210.0000,1.0000,210.0000,210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,no,"a:10:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:108:""aHR0cDovLzUwLjU2LjIxMy4xNTcvd29tZW4vbmV3LWFycml2YWxzL2VsaXphYmV0aC1rbml0LXRvcC00NjAuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:3:""421"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:2:{i:92;s:2:""22"";i:180;s:2:""80"";}s:3:""qty"";s:1:""1"";s:10:""return_url"";s:0:"""";}s:15:""attributes_info"";a:2:{i:0;a:2:{s:5:""label"";s:5:""Color"";s:5:""value"";s:5:""White"";}i:1;a:2:{s:5:""label"";s:4:""Size"";s:5:""value"";s:1:""S"";}}s:11:""simple_name"";s:18:""Elizabeth Knit Top"";s:10:""simple_sku"";s:6:""wbk012"";s:20:""product_calculations"";i:1;s:13:""shipment_type"";i:0;s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wbk012,"Elizabeth Knit Top",1,0,0,0,0,simple,0.0000,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,yes,"a:5:{s:15:""info_buyRequest"";a:6:{s:4:""uenc"";s:108:""aHR0cDovLzUwLjU2LjIxMy4xNTcvd29tZW4vbmV3LWFycml2YWxzL2VsaXphYmV0aC1rbml0LXRvcC00NjAuaHRtbD9vcHRpb25zPWNhcnQ,"";s:7:""product"";s:3:""421"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:2:{i:92;s:2:""22"";i:180;s:2:""80"";}s:3:""qty"";s:1:""1"";s:10:""return_url"";s:0:"""";}s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
100000052,jill@gmail.com,Jill,Moorehouse,,,,,"2013-03-29 01:58:37","2013-04-04 06:34:50",,,,79.2000,79.2000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1039.2000,1039.2000,,108.8800,108.8800,"United Parcel Service - Next Day Air Early AM",108.8800,960.0000,960.0000,1148.0800,1148.0800,108.8800,0,0,0,0,0,0,0,0,0,0,1,canceled,canceled,,,USD,USD,USD,,,0,5.0000,8.31.244.68,,,1148.0800,,29,,Jill,,Moorehouse,,"1849 Geary Boulevard","San Francisco",California,US,94115,5454343423,,,29,,Jill,,Moorehouse,,"1849 Geary Boulevard","San Francisco",California,US,94115,5454343423,,,checkmo,abl004,"Houston Travel Wallet",4,0,0,0,4,simple,210.0000,210.0000,840.0000,840.0000,4.0000,227.3300,227.3300,69.3000,69.3000,8.2500,0.0000,0.0000,0.0000,no,"a:5:{s:15:""info_buyRequest"";a:3:{s:4:""uenc"";s:40:""aHR0cDovLzUwLjU2LjIxMy4xNTcvdmlwLmh0bWw,"";s:7:""product"";s:3:""374"";s:3:""qty"";i:1;}s:17:""giftcard_lifetime"";N;s:22:""giftcard_is_redeemable"";i:0;s:23:""giftcard_email_template"";N;s:13:""giftcard_type"";N;}"
